name,wikipedia_link,image_link,sci_name
Abbott's babbler,https://wikipedia.org/wiki/Abbott%27s_babbler,https://en.wikipedia.org/wiki/File:Malacocincla-abbotti-abbotts-babbler-khao-yai-national-park.jpg,Malacocincla abbotti abbotts babbler khao yai national park
Abbott's booby,https://wikipedia.org/wiki/Abbott%27s_booby,https://en.wikipedia.org/wiki/File:Abbott%27s_Booby.jpg,Abbott's Booby
Abbott's starling,https://wikipedia.org/wiki/Abbott%27s_starling,https://en.wikipedia.org/wiki/File:Abbott%27s_Starling_(adult).jpg,Abbott's Starling (adult)
Abd al-Kuri sparrow,https://wikipedia.org/wiki/Abd_al-Kuri_sparrow,https://en.wikipedia.org/wiki/File:Passer_hemileucus.jpg,Passer hemileucus
Abdim's stork,https://wikipedia.org/wiki/Abdim%27s_stork,https://en.wikipedia.org/wiki/File:Ciconia_abdimii_-London_Zoo-8a.jpg,Ciconia abdimii  London Zoo 8a
Aberdare cisticola,https://wikipedia.org/wiki/Aberdare_cisticola,https://en.wikipedia.org/wiki/File:Aberdare_Cisticola_-_Aberdares_-_Kenya_CD5A1890.jpg,Aberdare Cisticola   Aberdares   Kenya CD5A1890
Aberrant bush warbler,https://wikipedia.org/wiki/Aberrant_bush_warbler,https://en.wikipedia.org/wiki/File:Aberrant_Bush_Warbler_0A2A4060.jpg,Aberrant Bush Warbler 0A2A4060
Abert's towhee,https://wikipedia.org/wiki/Abert%27s_towhee,https://en.wikipedia.org/wiki/File:Pipilo_aberti.jpg,Pipilo aberti
Abyssinian catbird,https://wikipedia.org/wiki/Abyssinian_catbird,https://en.wikipedia.org/wiki/File:IanthocinclaTreacheriKeulemans.jpg,Stub icon
Abyssinian crimsonwing,https://wikipedia.org/wiki/Abyssinian_crimsonwing,https://en.wikipedia.org/wiki/File:Abyssinian_Crimsonwing_(Cryptospiza_salvadorii)_(male).jpg,Abyssinian Crimsonwing (Cryptospiza salvadorii) (male)
Abyssinian ground hornbill,https://wikipedia.org/wiki/Abyssinian_ground_hornbill,https://en.wikipedia.org/wiki/File:Abyssinian_ground-hornbill_(Bucorvus_abyssinicus)_male.jpg,Abyssinian ground hornbill (Bucorvus abyssinicus) male
Abyssinian ground thrush,https://wikipedia.org/wiki/Abyssinian_ground_thrush,https://en.wikipedia.org/wiki/File:Abyssinian_Ground-thrush_(Zoothera_piaggiae)_perched.jpg,Abyssinian Ground thrush (Zoothera piaggiae) perched
Abyssinian longclaw,https://wikipedia.org/wiki/Abyssinian_longclaw,https://en.wikipedia.org/wiki/File:Abyssinian_Longclaw_-_Ethiopia_2_(17000135681).jpg,Abyssinian Longclaw   Ethiopia 2 (17000135681)
Abyssinian owl,https://wikipedia.org/wiki/Abyssinian_owl,N/A,N/A
Abyssinian roller,https://wikipedia.org/wiki/Abyssinian_roller,https://en.wikipedia.org/wiki/File:Abyssinian_roller_(Coracias_abyssinicus).jpg,Abyssinian roller (Coracias abyssinicus)
Abyssinian scimitarbill,https://wikipedia.org/wiki/Abyssinian_scimitarbill,https://en.wikipedia.org/wiki/File:Abyssinian_scimitarbill_Kenya.jpg,Abyssinian scimitarbill Kenya
Abyssinian slaty flycatcher,https://wikipedia.org/wiki/Abyssinian_slaty_flycatcher,https://en.wikipedia.org/wiki/File:Abyssinian_Slaty_Flycatcher_(Dioptrornis_chocolatinus).jpg,Abyssinian Slaty Flycatcher (Dioptrornis chocolatinus)
Abyssinian thrush,https://wikipedia.org/wiki/Abyssinian_thrush,https://en.wikipedia.org/wiki/File:Abyssinian_Thrush_(Turdus_abyssinicus)_(16341647185).jpg,Abyssinian Thrush (Turdus abyssinicus) (16341647185)
Abyssinian waxbill,https://wikipedia.org/wiki/Abyssinian_waxbill,"https://en.wikipedia.org/wiki/File:Fawn-breasted_Waxbill,_Sakania,_DRC_(7863266542).jpg","Fawn breasted Waxbill, Sakania, DRC (7863266542)"
Abyssinian wheatear,https://wikipedia.org/wiki/Abyssinian_wheatear,https://en.wikipedia.org/wiki/File:Oenanthe_lugubris.jpg,Oenanthe lugubris
Abyssinian white-eye,https://wikipedia.org/wiki/Abyssinian_white-eye,https://en.wikipedia.org/wiki/File:Zosterops_abyssinicus_(17823062125).jpg,Zosterops abyssinicus (17823062125)
Abyssinian woodpecker,https://wikipedia.org/wiki/Abyssinian_woodpecker,https://en.wikipedia.org/wiki/File:Abyssinian_Woodpecker.jpg,Abyssinian Woodpecker
Acacia pied barbet,https://wikipedia.org/wiki/Acacia_pied_barbet,https://en.wikipedia.org/wiki/File:Acacia_pied_barbet-1209_-_Flickr_-_Ragnhild_%26_Neil_Crawford.jpg,Acacia pied barbet 1209   Flickr   Ragnhild & Neil Crawford
Acacia tit,https://wikipedia.org/wiki/Acacia_tit,https://en.wikipedia.org/wiki/File:Melaniparus_thruppi_Keulemans_(cropped).jpg,Melaniparus thruppi Keulemans (cropped)
Acadian flycatcher,https://wikipedia.org/wiki/Acadian_flycatcher,https://en.wikipedia.org/wiki/File:Empidonax_virescens_99136793_(cropped).jpg,Empidonax virescens 99136793 (cropped)
Aceh bulbul,https://wikipedia.org/wiki/Aceh_bulbul,"https://en.wikipedia.org/wiki/File:Naturalis_Biodiversity_Center_-_RMNH.AVES.13772_2_-_Pycnonotus_bimaculatus_snouckaerti_Siebers,_1928_-_Pycnonotidae_-_bird_skin_specimen.jpeg",preserved specimen
Acorn woodpecker,https://wikipedia.org/wiki/Acorn_woodpecker,https://en.wikipedia.org/wiki/File:Acorn_woodpecker_holding_a_nut_in_its_beak-0225.jpg,Acorn woodpecker holding a nut in its beak 0225
Acre antshrike,https://wikipedia.org/wiki/Acre_antshrike,"https://en.wikipedia.org/wiki/File:Thamnophilus_divisorius_-_Acre_Antshrike_(male),_Serra_do_Divisor_National_Park,_Acre,_Brazil.jpg","Thamnophilus divisorius   Acre Antshrike (male), Serra do Divisor National Park, Acre, Brazil"
Acre tody-tyrant,https://wikipedia.org/wiki/Acre_tody-tyrant,"https://en.wikipedia.org/wiki/File:Hemitriccus_cohnhafti_-_Acre_Tody-Tyrant;_Rio_Branco,_Acre,_Brazil.jpg","Hemitriccus cohnhafti   Acre Tody Tyrant; Rio Branco, Acre, Brazil"
Adamawa turtle dove,https://wikipedia.org/wiki/Adamawa_turtle_dove,https://en.wikipedia.org/wiki/File:Adamawa_Turtle-dove_(Streptopelia_hypopyrrha)_on_branch.jpg,Adamawa Turtle dove (Streptopelia hypopyrrha) on branch
Adelaide's warbler,https://wikipedia.org/wiki/Adelaide%27s_warbler,https://en.wikipedia.org/wiki/File:Dendroica_adelaidae.jpg,Dendroica adelaidae
